  Year     Pop Art Returns (%)   S&P Returns (%)

  2001               NA                NA   
  2002              3.63            -23.4  
  2003             -4.70             24.0 
  2004              24.5             1.31 
  2005              3.43             4.09
  2006              35.2             9.11
  2007              41.3            -7.16 
  2008             -18.5            -37.2
  2009             -20.0             26.5 
  2010              26.6             12.3 
  2011             -3.42            -1.48 
  2012             -6.83             12.0
  TWRR              5.52            -0.01
